carat,cut,color,clarity,depth,table,price,x,y,z,cut_encoded,color_encoded,clarity_encoded,diamond_type,price_per_carat,retailer_margin_rate,revenue_per_carat,value_tier,cut_clarity_score,certification_body,retailer_type,days_on_market,log_price,log_carat,log_price_per_carat,log_revenue_per_carat,diamond_type_encoded
0.54,Very Good,D,VS2,60.5,59.0,1885,5.24,5.28,3.18,2,6,3,lab_grown,3490.7407407407404,0.73,942.5,Mid,4.6429,IGI,Online,10,7.542213463193403,0.43178241642553783,8.158155670429158,6.849596364808605,0
0.53,Ideal,F,VVS2,61.0,56.0,2259,5.26,5.24,3.2,4,4,5,natural,4262.264150943396,0.4,2557.3584905660377,Mid,8.5714,GIA,Online,39,7.723120092266331,0.4252677354043441,8.357790378472895,7.847121117184948,1
1.5,Good,H,VS2,63.9,60.0,10692,7.17,7.22,4.6,1,2,3,natural,7128.0,0.4,4276.8,Premium,3.3929,GIA,Brick-and-Mortar,71,9.277344600756656,0.9162907318741551,8.871926251117628,8.361194137731358,1
1.15,Very Good,D,SI2,61.8,61.0,5186,6.62,6.69,4.11,2,6,1,natural,4509.565217391305,0.4,2705.739130434783,Premium,3.2143,GIA,Brick-and-Mortar,65,8.553910774351401,0.7654678421395714,8.414177750008083,7.903499916457363,1
0.3,Good,J,VS1,63.5,58.0,394,4.24,4.27,2.7,1,0,4,lab_grown,1313.3333333333335,0.73,354.6000000000001,Budget,4.1071,GIA,Brick-and-Mortar,20,5.978885764901122,0.26236426446749106,7.181084845209518,5.8738065036397495,0
2.02,Premium,I,SI2,61.7,58.0,14350,8.07,8.0,4.96,3,1,1,natural,7103.960396039604,0.4,4262.376237623763,Luxury,4.4643,GIA,Luxury,109,9.571574905170932,1.1052568313867783,8.868548466418495,8.357816669409363,1
1.26,Premium,J,VS2,62.5,58.0,5015,6.9,6.92,4.32,3,0,3,natural,3980.15873015873,0.4,2388.095238095238,Premium,5.8929,GIA,Brick-and-Mortar,71,8.520388082312756,0.8153648132841945,8.289328194136809,7.778670011786648,1
2.52,Ideal,I,SI1,61.5,56.0,17231,8.76,8.69,5.37,4,1,2,natural,6837.6984126984125,0.4,4102.619047619048,Luxury,6.4286,GIA,Luxury,119,9.75452339939617,1.2584609896100059,8.830352701967886,8.319624557887902,1
1.05,Premium,F,SI1,60.3,60.0,5557,6.66,6.54,3.98,3,4,2,natural,5292.380952380952,0.4,3175.428571428571,Premium,5.1786,GIA,Brick-and-Mortar,79,8.62299361030245,0.7178397931503169,8.574212442134295,8.063512753889484,1
1.53,Premium,G,SI2,58.7,59.0,8688,7.51,7.45,4.39,3,3,1,natural,5678.431372549019,0.4,3407.0588235294113,Premium,4.4643,IGI,Online,76,9.069813136839207,0.9282193027394289,8.644606396237087,8.133898148225544,1
1.01,Very Good,G,VS1,62.2,53.0,6613,6.48,6.54,4.05,2,3,4,natural,6547.524752475248,0.4,3928.5148514851485,Premium,5.3571,IGI,Online,73,8.796943893541737,0.6981347220709844,8.786995074631788,8.276271249783793,1
1.02,Very Good,E,VS2,63.2,60.0,6580,6.34,6.29,3.99,2,5,3,natural,6450.980392156863,0.4,3870.5882352941176,Premium,4.6429,GIA,Brick-and-Mortar,79,8.791941988456118,0.7030975114131134,8.772142400207137,8.261420098550955,1
0.7,Premium,D,SI2,60.5,58.0,2354,5.8,5.74,3.49,3,6,1,lab_grown,3362.857142857143,0.73,907.9714285714286,Mid,4.4643,GIA,Online,13,7.764296006450518,0.5306282510621704,8.12084355373961,6.812313661968892,0
0.24,Very Good,E,VVS2,59.7,60.0,485,4.08,4.1,2.44,2,5,5,lab_grown,2020.8333333333335,0.73,545.6250000000001,Budget,6.0714,IGI,Brick-and-Mortar,9,6.186208623900494,0.2151113796169455,7.611759969542865,6.303763009733085,0
0.55,Ideal,H,SI1,61.5,54.0,1248,5.3,5.33,3.27,4,2,2,lab_grown,2269.090909090909,0.73,612.6545454545454,Mid,6.4286,IGI,Brick-and-Mortar,16,7.130098510125578,0.4382549309311553,7.7275751577312155,6.419432140258886,0
